week_start,project_id,project_name,task,type,total_hours
2020-05-24,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,1
2020-05-31,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,1
2020-05-31,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,13
2020-05-31,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,5
2020-05-31,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,20
2020-05-31,10390254,20014_OmaArc_Admin OH,2.1 Training,Regular Pay,1
2020-06-07,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0.5
2020-06-07,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,9.5
2020-06-07,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,15
2020-06-07,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,9
2020-06-07,10390254,20014_OmaArc_Admin OH,2.1 Training,Regular Pay,0
2020-06-07,10484753,Trinity - SAC New ED,001.01-Concept Design,Regular Pay,6
2020-06-14,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,1
2020-06-14,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,12.5
2020-06-14,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,2
2020-06-14,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,14
2020-06-14,10390254,20014_OmaArc_Admin OH,2.1 Training,Regular Pay,6
2020-06-14,10484753,Trinity - SAC New ED,001.01-Concept Design,Regular Pay,4.5
2020-06-21,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,1
2020-06-21,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,11.5
2020-06-21,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,9
2020-06-21,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,11.5
2020-06-21,10390254,20014_OmaArc_Admin OH,2.1 Training,Regular Pay,1.5
2020-06-21,10484753,Trinity - SAC New ED,001.01-Concept Design,Regular Pay,5.5
2020-06-28,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,3
2020-06-28,10484753,Trinity - SAMC New ED,001.01-Concept Design,Regular Pay,4.5
2020-06-28,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,8
2020-06-28,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,8
2020-06-28,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,8
2020-06-28,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0.5
2020-06-28,10012166,OH_20014_ARC Omaha NE,001-Dept 00001 Overhead,Holiday,8
2020-07-05,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,4
2020-07-05,10484753,Trinity - SAMC New ED,001.01-Concept Design,Regular Pay,7
2020-07-05,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,13.5
2020-07-05,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,12.5
2020-07-05,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,3
2020-07-05,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0
2020-07-12,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,4.25
2020-07-12,10484753,Trinity - SAMC New ED,001.01-Concept Design,Regular Pay,7.25
2020-07-12,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,13.5
2020-07-12,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,13
2020-07-12,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,1.5
2020-07-12,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0.5
2020-07-19,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,4
2020-07-19,10484753,Trinity - SAMC New ED,001.01-Concept Design,Regular Pay,7
2020-07-19,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,13
2020-07-19,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,12.75
2020-07-19,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,2.75
2020-07-19,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0.5
2020-07-26,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,30.5
2020-07-26,10484753,Trinity - SAMC New ED,001.01-Concept Design,Regular Pay,0
2020-07-26,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,6.5
2020-07-26,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,0
2020-07-26,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,2.5
2020-07-26,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0
2020-07-26,10459413,Ball TH Hosp Study,01.04 PDR 2 Report Product,Regular Pay,0.5
2020-08-02,10390254,20014_OmaArc_Admin OH,2.1-Training,Regular Pay,3.5
2020-08-02,10484753,Trinity - SAMC New ED,001.01-Concept Design,Regular Pay,1.5
2020-08-02,10376685,PS Data and Automation,001-Strategy Growth,Regular Pay,12
2020-08-02,10464221,Riverside ED Masterplanning,01.01-Pre Design,Regular Pay,1
2020-08-02,10422588,East CU Health Masterplan,008.1-Strategy Task,Regular Pay,22
2020-08-02,10376685,PS Data and Automation,002-BC Meetings,Regular Pay,0
2020-08-02,10459413,Ball TH Hosp Study,01.04 PDR 2 Report Product,Regular Pay,0
